#RunNum   EventNum    x(mm)    y(mm)    z(mm)
2384 23 -0.970895 -21.0792 -1.58801
2384 97 0.105152 -21.0912 -1.32267
2384 167 -0.0192339 -19.9731 -1.42105
2384 187 -0.58067 -20.537 -1.46896
2384 221 0.274308 -20.1344 -1.58828
2384 224 -0.195701 -20.1617 -1.50104
2384 331 0.00870477 -20.7642 -1.60724
2384 471 0.0305484 -20.1229 -1.45909
2384 473 -0.69324 -20.4585 -1.38676
2384 498 -0.0447715 -20.529 -1.37326
2384 577 -0.328442 -20.466 -1.44951
2384 622 0.0500061 -20.2421 -1.46405
2384 630 -0.0737828 -20.6283 -1.20298
2384 699 0.370552 -20.0829 -1.51244
2384 700 0.240167 -20.6267 -1.61246
2384 925 0.912521 -20.7462 -1.48945
2384 990 0.000891311 -20.2976 -1.56665
2384 1042 -0.888087 -20.8492 -1.41033
2384 1043 -0.385953 -20.5101 -1.55214
2384 1291 0.223136 -20.7274 -1.53039
2384 1367 -0.173292 -20.1461 -1.4273
2384 1402 0.214406 -20.9241 -1.3775
2384 1409 -0.667165 -20.0562 -1.86801
2384 1488 -0.514747 -20.5462 -1.49836
2384 1598 -0.0968835 -20.5316 -1.53607
2384 1734 -0.525931 -20.8657 -1.46922
2384 1780 -0.308164 -20.4735 -1.50522
2384 1837 -0.17158 -20.601 -1.39843
2384 1863 -0.184831 -20.2417 -1.61423
2384 1868 0.318383 -20.246 -1.54086
2384 1912 -0.279412 -20.7545 -1.49544
2384 1916 0.00868515 -20.7402 -1.60378
2384 1935 -0.0468501 -20.6332 -1.59486
2384 2050 -0.574541 -20.3524 -1.34779
2384 2144 -0.953381 -21.4177 -1.46585
2384 2188 -0.398531 -21.0155 -1.44511
2384 2310 -0.591573 -20.4449 -1.4428
2384 2405 -0.390576 -20.3152 -1.52001
2384 2434 -0.563755 -20.4171 -1.49445
2384 2438 -0.0616792 -20.5766 -1.44417
2384 2495 0.35514 -20.2126 -1.54201
2384 2625 0.118675 -20.712 -1.49686
2384 2676 0.0363455 -20.7198 -1.44498
2384 2690 -0.167039 -20.6171 -1.64447
2384 2706 -0.0708773 -20.6792 -1.42734
2384 2754 -0.171351 -20.5907 -1.59943
2384 2816 -0.707536 -20.114 -1.65746
2384 2835 -0.426011 -20.3467 -1.61951
2384 2839 -0.257791 -20.0442 -1.45483
2384 2863 -0.242013 -20.6071 -1.43889
2384 2984 -0.0603058 -20.3597 -1.54184
2384 3087 -0.451172 -20.4609 -1.37072
2384 3167 -0.0662529 -21.1696 -1.45644
2384 3240 -0.20446 -20.8441 -1.49597
2384 3264 -0.109529 -20.3037 -1.55532
2384 3268 -0.310674 -20.7222 -1.4689
2384 3289 -0.660917 -20.9152 -1.53799
2384 3377 -0.224018 -20.372 -1.53357
2384 3394 -0.224441 -20.2877 -1.40496
2384 3470 -0.443479 -20.558 -1.4444
2384 3486 0.0466376 -21.4372 -1.27479
2384 3536 -0.124131 -20.3678 -1.49932
2384 3554 -0.188901 -20.5742 -1.50852
2384 3608 -0.043793 -20.0406 -1.49041
2384 3762 -0.203228 -20.9593 -1.56673
2384 3798 0.138584 -20.6628 -1.49162
2384 3799 -0.398767 -20.3245 -1.51433
2384 3819 0.865109 -20.4616 -1.4544
2384 3873 -0.134366 -20.7601 -1.44068
2384 3887 0.770849 -20.9905 -1.61226
2384 3917 0.192646 -20.6952 -1.46349
2384 4116 0.119345 -20.9375 -1.36545
2384 4129 0.122849 -19.9233 -1.27394
2384 4178 -0.432629 -21.0894 -1.41719
2384 4183 -0.631307 -20.5427 -1.50374
2384 4185 -1.22832 -20.007 -1.50465
2384 4249 -0.282064 -20.8176 -1.6414
2384 4285 -0.274796 -20.0451 -1.36505
2384 4292 -0.380897 -19.8986 -1.54802
2384 4295 0.0980831 -20.436 -1.43302
2384 4330 -0.257281 -20.4071 -1.45365
2384 4335 -0.238986 -20.417 -1.39776
2384 4352 -0.404863 -20.6239 -1.47673
2384 4376 -0.495152 -21.0155 -1.48571
2384 4405 -0.310474 -20.2176 -1.5364
2384 4423 0.359068 -20.603 -1.5248
2384 4471 0.0320726 -20.1829 -1.55459
2384 4505 0.254795 -19.7102 -1.48693
2384 4525 -0.238443 -21.1612 -1.38473
2384 4625 -0.448333 -21.0372 -1.47561
2384 4646 0.0425844 -20.8016 -1.76318
2384 4656 0.101758 -20.5164 -1.30985
2384 4785 0.106013 -20.5977 -1.51281
2384 4805 -0.637724 -20.0059 -1.41786
2384 4913 -0.359434 -20.0759 -1.24328
2384 4966 0.0362611 -20.2465 -1.48832
2384 5006 -0.49095 -20.2769 -1.53978
2384 5074 -0.342102 -20.4873 -1.46235
2384 5088 -0.39775 -20.7501 -1.60274
2384 5181 0.15282 -20.341 -1.41998
2384 5265 0.324618 -20.3964 -1.63722
2384 5310 -0.253324 -20.8312 -1.50726
2384 5385 -0.433114 -20.6841 -1.6227
2384 5391 -0.340187 -20.9929 -1.54992
2384 5424 -0.339991 -20.9517 -1.51906
2384 5468 0.132206 -20.3514 -1.61995
2384 5515 0.0426983 -20.3295 -1.4469
2384 5527 -0.139149 -19.8124 -1.49505
2384 5536 -0.321397 -21.9574 -1.45447
2384 5537 -0.562475 -20.1174 -1.44467
2384 5596 -0.04894 -21.0445 -1.35947
2384 5663 0.00386325 -20.0879 -1.65637
2384 5683 -0.717164 -20.6253 -1.60594
2384 5745 -0.669356 -21.2868 -1.61238
2384 5779 -0.0667094 -21.1487 -1.50193
2384 5823 -0.111724 -20.5188 -1.47743
2384 5901 -0.0695986 -20.579 -1.36021
2384 5943 -0.484861 -20.2238 -1.63964
2384 6000 -0.216867 -21.406 -1.48697
2384 6056 -0.251924 -20.3203 -1.52366
2384 6058 -0.718326 -20.3446 -1.67322
2384 6078 -0.831905 -20.6785 -1.55022
2384 6097 -0.442524 -20.8483 -1.31121
2384 6133 -0.116004 -21.3032 -1.46317
2384 6223 -0.500799 -20.7165 -1.68758
2384 6261 -0.482685 -20.5761 -1.47092
2384 6362 -0.125599 -20.6012 -1.50799
2384 6368 -0.487221 -20.1282 -1.4669
2384 6486 -0.349983 -21.1569 -1.51315
2384 6528 -0.0776413 -20.4624 -1.43722
2384 6546 -0.363822 -21.0703 -1.51416
2384 6665 -0.149218 -20.4129 -1.35186
2384 6693 -0.0624116 -20.3889 -1.50142
2384 6719 0.144507 -20.5181 -1.53759
2384 6721 -0.0947222 -20.0616 -1.55347
2384 6729 0.367848 -20.7545 -1.59207
2384 6764 -0.728628 -20.4604 -1.55768
2384 6828 -0.371019 -20.7865 -1.50297
2384 6863 -0.670069 -20.5344 -1.41016
2384 6885 -0.58203 -20.3674 -1.48328
2384 6946 -0.16496 -20.36 -1.59318
2384 6969 -0.0271899 -21.0523 -1.714
2384 6988 -0.243717 -20.694 -1.50084
2384 6995 0.142177 -20.511 -1.47462
2384 7049 -0.501484 -20.2872 -1.61029
2384 7054 -0.0215214 -20.5778 -1.4383
2384 7064 -0.295709 -21.6043 -1.46914
2384 7099 -0.294806 -20.2313 -1.47465
2384 7139 -0.385521 -20.7812 -1.57978
2384 7192 -0.393985 -20.5032 -1.65784
2384 7224 -0.0318665 -20.4012 -1.4757
2384 7227 -0.288036 -20.3527 -1.38751
2384 7283 -0.530597 -20.6531 -1.42776
2384 7300 -0.513549 -20.6325 -1.57395
2384 7326 0.947888 -20.7366 -1.43079
2384 7342 -0.448633 -20.7693 -1.47113
2384 7359 -0.52704 -20.0468 -1.83559
2384 7481 -0.171929 -20.4266 -1.59591
2384 7516 -0.23354 -20.8285 -1.59931
2384 7623 -0.139138 -20.6556 -1.42628
2384 7657 -0.332961 -20.3845 -1.75252
2384 7698 -0.774575 -20.7374 -1.30269
2384 7729 -0.159678 -20.9063 -1.45958
2384 7785 0.0141969 -20.1764 -1.19002
2384 7851 -0.216174 -20.0721 -1.49425
2384 7858 -0.32855 -20.3502 -1.57736
2384 8041 -0.299529 -20.6917 -1.49843
2384 8043 0.48923 -20.3241 -1.48702
2384 8047 0.575884 -20.7159 -1.44055
2384 8084 -0.159065 -20.3271 -1.33556
2384 8178 -0.00100656 -20.1176 -1.60993
2384 8235 -0.294208 -20.0967 -1.57853
2384 8306 -0.493836 -21.6832 -1.68113
2384 8346 0.271907 -20.7606 -1.552
2384 8367 0.0677908 -20.4766 -1.42606
2384 8428 -0.704734 -20.4609 -1.47429
2384 8468 -0.483517 -20.2197 -1.26136
2384 8527 -0.209708 -20.323 -1.21851
2384 8528 0.108861 -19.8064 -1.45618
2384 8555 -0.286808 -20.2302 -1.54265
2384 8655 -0.148488 -20.2585 -1.54213
2384 8661 -0.35609 -20.2039 -1.63597
2384 8735 -0.197407 -20.8901 -1.42897
2384 8774 -0.344115 -20.5469 -1.42495
2384 8840 0.222555 -20.3125 -1.46292
2384 8857 -0.661042 -20.2683 -1.40294
2384 8863 -0.836336 -20.6986 -1.48014
2384 9094 -0.593889 -21.1027 -1.43244
2384 9116 0.748754 -20.7622 -1.47445
2384 9199 -0.257938 -20.6609 -1.53334
2384 9216 -0.132481 -20.4481 -1.5195
2384 9236 -0.38926 -20.6515 -1.61809
2384 9272 -0.0537863 -20.3268 -1.51121
2384 9276 0.288958 -20.4324 -1.68713
2384 9277 -0.320288 -20.5328 -1.59548
2384 9307 -0.390305 -20.8073 -1.75322
2384 9395 -0.811241 -20.8638 -1.64719
2384 9413 0.195051 -20.8406 -1.55158
2384 9524 -0.531596 -20.5139 -1.35455
2384 9529 -0.221398 -20.1941 -1.45849
2384 9553 0.120334 -20.3744 -1.60071
2384 9565 0.12733 -20.9079 -1.39557
